Manufacturer;Model Number;Pmax;PTC;Technology;A_c;N_s;N_p;BIPV;Isc;Voc;Ipmax;Vpmax;NOCT;Tc_pmax;Tc_isc;Tc_voc;Short Side;Long Side;ISC_Rear;Prear_max
LG Electronics Inc.;LG385N2C-A5;385;354.2;Mono-c-Si;2;72;1;N;10.35;49;9.78;39.4;47.7;-0.36;0.03;-0.26;1;2;0;0
LG Electronics Inc.;LG385N2K-A5;385;355.5;Mono-c-Si;2;72;1;N;10.17;49.1;9.68;39.8;47.2;-0.353;0.03;-0.26;1;2;0;0
LG Electronics Inc.;LG385N2T-A5;385;354.3;Mono-c-Si;2.04;72;1;N;10.11;49.1;9.4;41;47.8;-0.355;0.03;-0.26;1;2.04;0;0
LG Electronics Inc.;LG385N2W-A5;385;354.2;Mono-c-Si;2;72;1;N;10.35;49;9.78;39.4;47.7;-0.36;0.03;-0.26;1;2;0;0
LG Electronics Inc.;LG390N2C-A5;390;358.9;Mono-c-Si;2;72;1;N;10.39;49.1;9.81;39.8;47.7;-0.36;0.03;-0.26;1;2;0;0
LG Electronics Inc.;LG390N2K-A5;390;360.2;Mono-c-Si;2;72;1;N;10.21;49.2;9.71;40.2;47.2;-0.353;0.03;-0.26;1;2;0;0
LG Electronics Inc.;LG390N2T-A5;390;359;Mono-c-Si;2.04;72;1;N;10.15;49.2;9.43;41.4;47.8;-0.355;0.03;-0.26;1;2.04;0;0
LG Electronics Inc.;LG390N2W-A5;390;358.9;Mono-c-Si;2;72;1;N;10.39;49.1;9.81;39.8;47.7;-0.36;0.03;-0.26;1;2;0;0
LG Electronics Inc.;LG395N2C-A5;395;363.7;Mono-c-Si;2;72;1;N;10.43;49.2;9.83;40.2;47.7;-0.36;0.03;-0.26;1;2;0;0
LG Electronics Inc.;LG395N2K-A5;395;365;Mono-c-Si;2;72;1;N;10.25;49.3;9.74;40.6;47.2;-0.353;0.03;-0.26;1;2;0;0
LG Electronics Inc.;LG395N2T-A5;395;363.8;Mono-c-Si;2.04;72;1;N;10.19;49.3;9.46;41.8;47.8;-0.355;0.03;-0.26;1;2.04;0;0
LG Electronics Inc.;LG395N2W-A5;395;363.7;Mono-c-Si;2;72;1;N;10.43;49.2;9.83;40.2;47.7;-0.36;0.03;-0.26;1;2;0;0
LG Electronics Inc.;LG400N2C-A5;400;368.4;Mono-c-Si;2;72;1;N;10.47;49.3;9.86;40.6;47.7;-0.36;0.03;-0.26;1;2;0;0
