Pos,Latitud,Longitud,Cuenca,Distancia,Variacion,area,EC,Rosa,Regadios,Energia,CF,LCOE,Emisiones
1131,40.31227029,-4.549507602,Tietar,6982.718053,225.041,4276.385,4,-0.125621778,0,668678.1457530877,17.51,60.84,0.11
1132,40.30543175,-4.605177259,Tietar,11726.29619,223.2,1903.173,11,-0.223923048,0,297179.02197804756,17.5,60.84,0.05
1134,40.26270272,-4.683219653,Tietar,22071.24248,243.81,567.291,3,-0.086961524,0,88631.00516369368,17.5,60.84,0.01
1135,40.26155907,-4.691183068,Tietar,22533.49272,247.806,8759.631,3,-0.085621778,0,1370514.687280793,17.5,60.84,0.23
1136,40.2586262,-4.686186594,Tietar,22589.28461,245.763,256.422,3,-0.091961524,0,39753.703385072746,17.5,60.84,0.01
1141,40.3118189,-4.561830258,Tietar,7991.262492,224.244,39358.285,4,-0.149282032,0,6154256.458463601,17.51,60.84,1.02
1161,40.1701896,-5.239231498,Tietar,4706.77009,317.185,9.595,14,-0.023660254,13,1302.88728062847,17.5,60.87,0.0
1162,40.21946116,-5.249655272,Tietar,8898.168293,323.384,9.588,12,-0.105621778,0,1302.799738079914,17.5,60.87,0.0
1164,40.23340706,-5.215525606,Tietar,9029.317339,344.419,9.585,3,-0.060980762,0,1302.8206923461896,17.5,60.87,0.0
1181,40.15176261,-5.19691782,Tietar,862.8010927,324.847,18153.484,59,-0.013660254,89,2846331.9533201735,17.5,60.86,0.47
1182,40.3022201,-4.75348693,Tietar,22728.93947,291.047,21952.323,2,-0.091961524,20,3432782.471281058,17.5,60.85,0.57
1183,40.21679172,-4.603918059,Tietar,17132.90794,234.266,3134.096,1,-0.09830127,0,490788.1245696076,17.51,60.83,0.08
1184,40.30033624,-4.992549174,Tietar,17314.90599,619.114,3026.976,3,-0.027320508,0,472984.2054463689,17.5,60.86,0.08
1185,40.15892127,-5.333280817,Tietar,12412.84802,311.889,20478.511,23,0.050980762,121,3210066.7476837235,17.5,60.87,0.53
1186,40.31243647,-4.65292028,Tietar,16021.01819,231.971,3443.401,9,-0.17660254,1,538285.1812406316,17.5,60.84,0.09
1193,40.32568617,-4.651140616,Tietar,14721.27733,233.533,7319.266,10,-0.120621778,0,1143676.855751925,17.5,60.84,0.19
1194,40.22220647,-4.93564693,Tietar,15104.76062,444.985,20680.939,1,-0.013660254,4,3239036.2566481987,17.5,60.85,0.54
1196,40.31108206,-4.75569834,Tietar,22204.00302,293.329,39386.003,2,-0.069641016,23,6157819.477872568,17.5,60.85,1.03
1198,40.29017975,-4.965716674,Tietar,17712.39044,578.868,9.578,2,-0.037320508,0,1303.033873642304,17.5,60.86,0.0
1199,40.1702076,-5.23923209,Tietar,4707.536037,317.185,9.595,14,-0.023660254,13,1302.8872526963685,17.5,60.87,0.0
1201,40.15950616,-5.014178758,Tietar,7158.843987,391.521,9.597,12,-0.066961524,13,1303.1758763928908,17.5,60.85,0.0
1211,40.33919157,-4.706726616,Tietar,17021.98426,258.672,43022.773,3,-0.069641016,0,6722832.517478681,17.5,60.85,1.12
1213,40.21403461,-5.103460727,Tietar,5265.113845,416.289,82064.204,1,0.018660254,0,12853311.447371712,17.5,60.86,2.14
1214,40.1114677,-5.282099396,Tietar,9384.16562,312.428,3302214.039,12,0.065,55,518279514.4460977,17.5,60.86,86.29
1215,40.10769608,-5.216720437,Tietar,5800.864715,316.596,3302214.039,27,0.062320508,52,8244940.090270598,17.5,60.85,1.37
