Pos;Latitud;Longitud;Cuenca;Distancia;Variacion;area;EC;Rosa;Regadios
931;40.25826376;-5.277197107;Tormes;13773.18387;317.506;2030.284;35;-0.134282032;0
932;40.25751085;-5.277323478;Tormes;13709.63491;317.493;521.618;35;-0.134282032;0
933;40.2578888;-5.273873823;Tormes;13583.62315;319.096;333.865;34;-0.144282032;0
934;40.25744606;-5.274487996;Tormes;13570.69669;318.846;273.163;35;-0.144282032;0
935;40.2569482;-5.276617709;Tormes;13624.31015;317.818;738.466;35;-0.134282032;0
936;40.25290408;-5.278338259;Tormes;13337.70556;316.862;1871.95;34;-0.139282032;0
937;40.25205149;-5.27847828;Tormes;13267.58226;316.74;39.595;34;-0.139282032;0
938;40.26992255;-5.081925385;Tietar;11525.8937;518.364;208.294;1;-0.050980762;18
939;40.24834845;-5.28126682;Tormes;13079.031;315.492;25.078;33;-0.129282032;0
940;40.24818421;-5.281561252;Tormes;13079.88462;315.3;67.078;33;-0.129282032;0
941;40.25043685;-4.999501336;Tietar;12491.53789;521.556;185.74;1;-0.018660254;1
942;40.23878342;-5.048915208;Tietar;9003.946896;489.669;308.194;2;-0.022320508;0
943;40.19089951;-5.080945536;Tietar;3028.877797;404.303;3085.155;7;-0.013660254;6
944;40.22915484;-5.574199594;Tormes;15273.60252;223.53;47021.288;4;0.040980762;0
945;40.35456034;-5.583495791;Tormes;5125.474046;175.33;469.476;12;-0.064641016;7
946;40.34720124;-5.575681162;Tormes;4674.08199;173.924;13617.018;13;-0.037320508;7
947;40.21666027;-5.561310219;Tormes;16361.28943;231.689;12482.225;4;0.028660254;0
948;40.34514333;-5.570088136;Tormes;4317.984534;172.865;2439.236;14;-0.054641016;8
949;40.35604561;-5.566552963;Tormes;3677.67576;171.635;8053.102;16;-0.050980762;8
950;40.32182709;-5.535933119;Tormes;4489.691772;172.641;583.808;12;-0.089641016;2
951;40.3492349;-5.517791455;Tormes;1437.80296;166.397;140.872;12;-0.101961524;3
952;40.34352878;-5.516837285;Tormes;2057.498958;166.959;1269.173;10;-0.101961524;3
953;40.36602204;-5.517453953;Tormes;383.6158837;166.788;715.94;8;-0.10330127;3
954;40.33587918;-5.489786;Tormes;3941.344142;171.406;583.272;7;-0.069641016;0
955;40.35172684;-5.407073485;Tormes;9747.63568;209.776;330.81;2;-0.042320508;24
956;40.35936536;-5.39652415;Tormes;10578.96285;216.453;755.382;2;-0.045980762;20
957;40.35950851;-5.395580593;Tormes;10658.62082;217.111;552.087;2;-0.045980762;20
958;40.17888466;-5.036752031;Tietar;5358.770959;407.633;2803.718;8;-0.046961524;4
959;40.16423012;-5.031491197;Tietar;5644.87257;393.796;347.236;13;-0.056961524;3
960;40.13401225;-5.007860579;Zapardiel;8475.386378;371.575;496.86;11;-0.040980762;6
961;40.14999331;-5.005204719;Tietar;8096.299133;383.703;28239.528;12;-0.054641016;14
962;40.13710421;-5.002092901;Tietar;8786.806945;373.961;14160.44;11;-0.050980762;8
963;40.17276404;-5.002307026;Tietar;8149.83596;404.832;3483.98;14;-0.06330127;10
964;40.15620063;-4.998610722;Tietar;8521.077621;389.072;3962.594;13;-0.074641016;16
965;40.14113162;-4.99489173;Tietar;9209.854539;376.821;103953.761;12;-0.074641016;13
966;40.1487036;-4.996348257;Tietar;8863.662378;382.714;2688.493;13;-0.064641016;16
967;40.15591486;-4.98518288;Tietar;9659.256056;388.267;5101.64;14;-0.069641016;19
968;40.16740628;-4.977978925;Tietar;10196.04027;397.921;10620.544;15;-0.084641016;72
969;40.14589092;-4.960834768;Tietar;11887.60392;377.203;6781.39;17;-0.065980762;79
970;40.18262831;-4.963698254;Tietar;11545.18185;410.725;891.573;10;-0.079641016;77
971;40.17812692;-4.945213091;Tietar;13046.46832;400.64;4559.2;12;-0.10830127;119
972;40.13587302;-4.939744201;Tietar;13887.98363;366.199;1378.877;9;-0.040980762;1
973;40.13976587;-4.929679284;Tietar;14625.13696;366.107;847.528;7;-0.050980762;10
974;40.15411338;-4.925075074;Tietar;14771.50116;374.317;1405.902;9;-0.070980762;45
975;40.1446394;-4.923467215;Tietar;15044.9786;367.468;224.984;7;-0.065980762;22
976;40.15711475;-4.920726285;Zapardiel;15112.57663;374.867;2298.586;8;-0.084641016;33
977;40.17969201;-4.913623392;Tietar;15741.52861;388.826;643.27;6;-0.10330127;8
978;40.15832737;-5.348539361;Tietar;13710.19483;311.034;292.958;16;0.057320508;54
979;40.16006668;-5.340185611;Tietar;13005.59958;311.498;1408.07;22;0.059641016;81
980;40.26672586;-5.347412793;Tormes;18411.20371;283.151;866.45;15;-0.060980762;0
981;40.15886679;-5.337685871;Tietar;12787.71686;311.691;2453.485;22;0.042320508;101
982;40.15736986;-5.337717774;Tietar;12785.99239;311.762;3784.012;22;0.052320508;101
983;40.26762746;-5.343786197;Tormes;18252.78562;284.524;423.919;16;-0.060980762;0
